ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Shopping_Channel,Total_Order,Product_Type,Amount_Spent
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Store,22,MntWines,635
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Store,4,MntWines,11
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,1,8,2,10,4,0,0,0,0,0,0,3,11,0,Store,20,MntWines,426
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Store,6,MntWines,11
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Store,14,MntWines,173
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,2,6,4,10,6,0,0,0,0,0,0,3,11,0,Store,20,MntWines,520
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,4,7,3,7,6,0,0,0,0,0,0,3,11,0,Store,17,MntWines,235
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,2,4,0,4,8,0,0,0,0,0,0,3,11,0,Store,8,MntWines,76
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,1,3,0,2,9,0,0,0,0,0,0,3,11,1,Store,5,MntWines,14
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,1,1,0,0,20,1,0,0,0,0,0,3,11,0,Web,1,MntWines,28
1994,1983,Graduation,Married,,1,0,15-11-2013,11,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Store,3,MntWines,5
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,1,2,0,3,8,0,0,0,0,0,0,3,11,0,Store,5,MntWines,6
